GC_type, type(fixed/random), max_used_memory(MB),time(ms)
ParallelOld,fixed,128,160
ParallelOld,fixed,514,43
ParallelOld,fixed,1029,47
ParallelOld,random,128,171
ParallelOld,random,514,44
ParallelOld,random,1029,44
CMS,fixed,129,101
CMS,fixed,518,44
CMS,fixed,1038,54
CMS,random,129,113
CMS,random,518,54
CMS,random,1038,44
G1,fixed,134,98
G1,fixed,536,84
G1,fixed,1073,88
G1,random,134,97
G1,random,536,91
G1,random,1073,90
ParallelOld,fixed,514,693
ParallelOld,fixed,1029,240
ParallelOld,random,514,742
ParallelOld,random,1029,244
CMS,fixed,518,401
CMS,fixed,1038,406
CMS,random,518,394
CMS,random,1038,413
G1,fixed,536,352
G1,fixed,1073,333
G1,random,536,345
G1,random,1073,326
ParallelOld,fixed,128,159
ParallelOld,fixed,514,51
ParallelOld,fixed,1029,54
ParallelOld,random,128,168
ParallelOld,random,514,53
ParallelOld,random,1029,44
CMS,fixed,129,109
CMS,fixed,518,48
CMS,fixed,1038,49
CMS,random,129,114
CMS,random,518,47
CMS,random,1038,46
G1,fixed,134,93
G1,fixed,536,93
G1,fixed,1073,94
G1,random,134,102
G1,random,536,88
G1,random,1073,88
ParallelOld,fixed,514,730
ParallelOld,fixed,1029,252
ParallelOld,random,514,705
ParallelOld,random,1029,275
CMS,fixed,518,420
CMS,fixed,1038,429
CMS,random,518,424
CMS,random,1038,428
G1,fixed,536,372
G1,fixed,1073,351
G1,random,536,363
G1,random,1073,351
ParallelOld,fixed,514,749
ParallelOld,fixed,1029,259
ParallelOld,random,514,739
ParallelOld,random,1029,255
CMS,fixed,518,417
CMS,fixed,1038,417
CMS,random,518,411
CMS,random,1038,426
G1,fixed,536,365
G1,fixed,1073,352
G1,random,536,375
G1,random,1073,376
ParallelOld,fixed,514,737
ParallelOld,fixed,1029,298
ParallelOld,random,514,660
ParallelOld,random,1029,249
CMS,fixed,518,408
CMS,fixed,1038,425
CMS,random,518,411
CMS,random,1038,448
G1,fixed,536,359
G1,fixed,1073,336
G1,random,536,359
G1,random,1073,334
ParallelOld,fixed,514,704
ParallelOld,fixed,1029,252
ParallelOld,random,514,647
ParallelOld,random,1029,267
CMS,fixed,518,442
CMS,fixed,1038,471
CMS,random,518,420
CMS,random,1038,459
G1,fixed,536,349
G1,fixed,1073,322
G1,random,536,380
G1,random,1073,348
ParallelOld,fixed,514,701
ParallelOld,fixed,1029,284
ParallelOld,random,514,697
ParallelOld,random,1029,230
CMS,fixed,518,395
CMS,fixed,1038,398
CMS,random,518,410
CMS,random,1038,409
G1,fixed,536,356
G1,fixed,1073,335
G1,random,536,356
G1,random,1073,327
ParallelOld,fixed,514,744
ParallelOld,fixed,1029,229
ParallelOld,random,514,638
ParallelOld,random,1029,239
CMS,fixed,518,405
CMS,fixed,1038,444
CMS,random,518,428
CMS,random,1038,447
G1,fixed,536,365
G1,fixed,1073,340
G1,random,536,367
G1,random,1073,357
ParallelOld,fixed,514,698
ParallelOld,fixed,1029,318
ParallelOld,random,514,692
ParallelOld,random,1029,264
CMS,fixed,518,425
CMS,fixed,1038,451
CMS,random,518,419
CMS,random,1038,455
G1,fixed,536,334
G1,fixed,1073,327
G1,random,536,353
G1,random,1073,327
ParallelOld,fixed,514,690
ParallelOld,fixed,1029,265
ParallelOld,random,514,730
ParallelOld,random,1029,249
CMS,fixed,518,403
CMS,fixed,1038,416
CMS,random,518,416
CMS,random,1038,415
G1,fixed,536,362
G1,fixed,1073,339
G1,random,536,395
G1,random,1073,338
ParallelOld,fixed,514,809
ParallelOld,fixed,1029,250
ParallelOld,random,514,683
ParallelOld,random,1029,264
CMS,fixed,518,427
CMS,fixed,1038,412
CMS,random,518,401
CMS,random,1038,405
G1,fixed,536,356
G1,fixed,1073,352
G1,random,536,349
G1,random,1073,336
ParallelOld,fixed,514,703
ParallelOld,fixed,1029,291
ParallelOld,random,514,720
ParallelOld,random,1029,299
CMS,fixed,518,421
CMS,fixed,1038,439
CMS,random,518,428
CMS,random,1038,480
G1,fixed,536,362
G1,fixed,1073,357
G1,random,536,388
G1,random,1073,362
